"","date","n_correos"
"1071",2011-12-25,1
"1072",2011-12-26,1
"1073",2011-12-27,6
"1074",2011-12-28,2
"1075",2011-12-29,5
"1076",2011-12-30,4
"1077",2011-12-31,1
"1078",2012-01-01,0
"1079",2012-01-02,0
"1080",2012-01-03,4
"1081",2012-01-04,1
"1082",2012-01-05,9
"1083",2012-01-06,3
"1084",2012-01-07,1
"1085",2012-01-08,0
"1086",2012-01-09,0
"1087",2012-01-10,1
"1088",2012-01-11,9
"1089",2012-01-12,0
"1090",2012-01-13,3
"1091",2012-01-14,5
"1092",2012-01-15,3
"1093",2012-01-16,1
"1094",2012-01-17,3
"1095",2012-01-18,3
"1096",2012-01-19,1
"1097",2012-01-20,3
"1098",2012-01-21,2
"1099",2012-01-22,1
"1100",2012-01-23,8
"1101",2012-01-24,21
"1102",2012-01-25,11
"1103",2012-01-26,9
"1104",2012-01-27,1
"1105",2012-01-28,3
"1106",2012-01-29,3
"1107",2012-01-30,0
"1108",2012-01-31,25
"1109",2012-02-01,9
"1110",2012-02-02,11
"1111",2012-02-03,12
"1112",2012-02-04,5
"1113",2012-02-05,2
"1114",2012-02-06,7
"1115",2012-02-07,1
"1116",2012-02-08,2
"1117",2012-02-09,0
"1118",2012-02-10,0
"1119",2012-02-11,3
"1120",2012-02-12,3
"1121",2012-02-13,9
"1122",2012-02-14,1
"1123",2012-02-15,2
"1124",2012-02-16,16
"1125",2012-02-17,5
"1126",2012-02-18,0
"1127",2012-02-19,0
"1128",2012-02-20,8
"1129",2012-02-21,14
"1130",2012-02-22,6
"1131",2012-02-23,5
"1132",2012-02-24,1
"1133",2012-02-25,0
"1134",2012-02-26,0
"1135",2012-02-27,12
"1136",2012-02-28,1
"1137",2012-02-29,6
"1138",2012-03-01,2
"1139",2012-03-02,2
"1140",2012-03-03,0
"1141",2012-03-04,2
"1142",2012-03-05,4
"1143",2012-03-06,4
"1144",2012-03-07,1
"1145",2012-03-08,1
"1146",2012-03-09,3
"1147",2012-03-10,8
"1148",2012-03-11,7
"1149",2012-03-12,7
